"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"124","2019-08-06","12:43:19","19:00","71.079",,,
"124","2019-08-06","12:43:19","19:10","70.104",,,
"124","2019-08-06","12:43:19","19:20","69.433",,,
"124","2019-08-06","12:43:19","19:30","68.915",,,
"124","2019-08-06","12:43:19","19:40","68.092",,,
"124","2019-08-06","12:43:19","19:50","67.117",,,
"124","2019-08-06","12:43:19","20:00","66.233",,,
"124","2019-08-06","12:43:19","20:10","65.349",,,
"124","2019-08-06","12:43:19","20:20","64.465",,,
"124","2019-08-06","12:43:19","20:30","63.734",,,
"124","2019-08-06","12:43:19","20:40","63.307",,,
"124","2019-08-06","12:43:19","20:50","63.002",,,
"124","2019-08-06","12:43:19","21:00","63.276",,,
"124","2019-08-06","12:43:19","21:10","62.575",,,
"124","2019-08-06","12:43:19","21:20","62.423",,,
"124","2019-08-06","12:43:19","21:30","62.454",,,
"124","2019-08-06","12:43:19","21:40","62.088",,,
"124","2019-08-06","12:43:19","21:50","61.752",,,
"124","2019-08-06","12:43:19","22:00","60.899",,,
"124","2019-08-06","12:43:19","22:10","60.869",,,
"124","2019-08-06","12:43:19","22:20","60.747",,,
"124","2019-08-06","12:43:19","22:30","60.716",,,
"124","2019-08-06","12:43:19","22:40","59.71",,,
"124","2019-08-06","12:43:19","22:50","59.649",,,
"124","2019-08-06","12:43:19","23:00","58.918",,,
"124","2019-08-06","12:43:19","23:10","58.247",,,
"124","2019-08-06","12:43:19","23:20","57.668",,,
"124","2019-08-06","12:43:19","23:30","57.394",,,
"124","2019-08-06","12:43:19","23:40","57.059",,,
"124","2019-08-06","12:43:19","23:50","56.449",,,
"124","2019-08-06","12:43:19","24:00","55.931",,,
"124","2019-08-06","12:43:19","24:10","55.565",,,
"124","2019-08-06","12:43:19","24:20","55.291",,,
"124","2019-08-06","12:43:19","24:30","54.407",,,
"124","2019-08-06","12:43:19","24:40","53.614",,,
"124","2019-08-06","12:43:19","24:50","52.883",,,
"124","2019-08-06","12:43:19","25:00","51.968",,,
"124","2019-08-06","12:43:19","25:10","51.786",,,
"124","2019-08-06","12:43:19","25:20","50.902",,,
"124","2019-08-06","12:43:19","25:30","50.322",,,
"124","2019-08-06","12:43:19","25:40","49.865","26.111",,
"124","2019-08-06","12:43:19","25:50","48.981","25.556",,
"124","2019-08-06","12:43:19","26:00","48.433",,,
"124","2019-08-06","12:43:19","26:10","47.64","26.111",,
"124","2019-08-06","12:43:19","26:20","46.604",,,
"124","2019-08-06","12:43:19","26:30","45.69",,,
"124","2019-08-06","12:43:19","26:40","44.653",,,
"124","2019-08-06","12:43:19","26:50","43.83",,,
"124","2019-08-06","12:43:19","27:00","42.672",,,
"124","2019-08-06","12:43:19","27:10","41.788",,,
"124","2019-08-06","12:43:19","27:20","41.3",,,
"124","2019-08-06","12:43:19","27:30","40.599",,,
"124","2019-08-06","12:43:19","27:40","39.776",,,
"124","2019-08-06","12:43:19","27:50","39.258",,,
"124","2019-08-06","12:43:19","28:00","38.1",,,
"124","2019-08-06","12:43:19","28:10","37.064",,,
"124","2019-08-06","12:43:19","28:20","36.332",,,
"124","2019-08-06","12:43:19","28:30","35.814",,,
"124","2019-08-06","12:43:19","28:40","34.808",,,
"124","2019-08-06","12:43:19","28:50","34.077",,,
"124","2019-08-06","12:43:19","29:00","33.376",,,
"124","2019-08-06","12:43:19","29:10","32.461",,,
"124","2019-08-06","12:43:19","29:20","31.516",,,
"124","2019-08-06","12:43:19","29:30","30.937",,,
"124","2019-08-06","12:43:19","29:40","30.815",,,
"124","2019-08-06","12:43:19","29:50","30.754",,,
"124","2019-08-06","12:43:19","30:00","30.663",,,
"124","2019-08-06","12:43:19","30:10","30.846",,,
"124","2019-08-06","12:43:19","30:20","30.846",,,
