domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	Zotu250	LCA	1	0	0	0	0	3	0	626	44	126	0	0	60	0	789	0	0	0	0	0	0	47	0	117	29	0	42	0	196	0	0	0	141	43	0	3	0	0	1633	0	0
Eukaryota		Cercozoa	Chlorarachniophyceae			Bigelowiella	Bigelowiella natans	Zotu268	LCA	1	0	0	0	0	0	0	0	23	0	0	0	41	0	0	0	153	15	0	97	0	35	13	136	276	0	36	66	32	274	128	68	223	38	0	0	0	0	278	93	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	dropped	dropped	dropped	Zotu270	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon roscoffensis	Zotu275	LCA	1	0	0	0	8	0	0	0	1	0	0	0	0	0	707	0	0	0	0	0	56	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1261	13	0	0	0	0
Eukaryota		Haptophyta		Isochrysidales	Noelaerhabdaceae	dropped	dropped	Zotu300	LCA	3	0	0	757	100	1	0	0	64	0	0	0	148	0	0	0	0	0	0	0	237	0	22	112	0	0	66	0	95	0	19	0	0	3	0	0	30	0	0	0	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon primus	Zotu304	LCA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	719	0	0	0	0	0	8	80	137	0	0	0	0	0	0	0	632	0	0	0	1
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	Calocalanus	Calocalanus pavo	Zotu316	LCA	1	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1575	42	0	0	0	0	0	0	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu317	LCA	1	0	0	11	1	0	531	11	38	0	3	0	168	331	0	0	119	20	0	9	500	306	93	0	376	0	65	1	118	455	112	24	0	27	0	170	128	16	366	85	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus denudatus	Zotu356	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1347	0	0	0	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu357	LCA	2	0	0	41	0	0	213	0	46	0	8	0	71	0	0	250	25	617	0	1	24	92	43	0	64	0	37	0	83	48	56	0	164	8	0	141	36	226	97	62	0
