domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Eukaryota		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	uncultured Chrysochromulina	Zotu131	LCA	3	0	0	0	0	37	0	0	130	22	0	0	2	0	302	139	0	177	122	326	0	279	0	15	111	8	4	382	609	278	38	90	66	7	21	232	0	107	228	8	25	0
Eukaryota			Polycystinea				uncultured marine Polycystinea	Zotu134	LCA	3	0	0	0	0	49	1	1	69	0	0	0	0	0	506	219	0	0	2	0	0	651	259	0	0	0	0	0	81	87	0	0	0	0	0	97	0	122	8	0	0	0
Eukaryota			dropped	dropped	dropped	dropped	dropped	Zotu135	LCA	4	0	0	0	0	15	1	49	96	0	130	18	70	0	162	90	0	181	27	42	0	1	26	14	3	0	0	207	4	389	15	30	49	0	0	125	0	15	374	3	0	0
Eukaryota		Haptophyta		Prymnesiales	Prymnesiaceae	Prymnesium	dropped	Zotu159	LCA	7	0	0	0	0	53	0	3	37	354	1	2	131	0	197	67	0	5	199	399	0	428	0	43	279	80	152	33	316	112	31	6	278	94	177	1812	0	74	354	90	116	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu162	LCA	2	0	0	0	0	23	0	404	86	60	19	5	88	0	41	47	0	553	30	19	0	83	85	45	90	13	53	70	261	132	3	234	45	70	20	5	0	48	66	230	36	0
Eukaryota			Dinophyceae	Peridiniales	Peridiniaceae	Pentapharsodinium	Pentapharsodinium tyrrhenicum	Zotu164	LCA	4	0	0	0	0	0	0	0	0	15	5	0	38	0	0	0	0	0	4	33	0	0	1	0	11	417	499	0	0	0	0	73	56	82	125	0	0	0	0	221	139	0
Eukaryota			Dinophyceae	Blastodiniales		Blastodinium	Blastodinium contortum	Zotu168	LCA	3	0	0	0	0	18	113	0	38	9	26	22	10	0	24	25	676	271	19	28	0	35	49	0	7	0	10	109	86	105	2	6	3	21	19	0	0	25	20	0	1	0
Eukaryota			Dinophyceae				Dinoflagellata sp. DF6	Zotu170	LCA	4	0	0	0	0	16	24	6	17	72	29	70	17	0	192	128	84	101	68	62	0	127	179	30	81	38	51	14	29	49	10	4	105	124	280	58	0	136	75	167	76	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia negligens	Zotu172	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2522	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota		Haptophyta		dropped	dropped	dropped	dropped	Zotu175	LCA	4	0	0	0	0	3	0	11	6	41	16	1	82	0	33	21	0	10	39	128	0	19	0	7	17	63	95	43	149	18	0	57	78	82	168	3	0	18	93	256	294	0
Eukaryota	Metazoa	Cnidaria	Anthozoa	Scleractinia	dropped	dropped	dropped	Zotu177	LCA	8	0	0	0	0	1302	5	0	0	0	26	0	20	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	4	2	2	2	0	0	6	2	1	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	dropped	dropped	dropped	Zotu183	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1346	0	6	0	0	0	0	4	0	0	0
Eukaryota		dropped	dropped	dropped	dropped	dropped	dropped	Zotu185	LCA	7	0	0	0	0	42	0	87	0	0	0	0	31	0	516	220	0	0	31	155	0	291	0	5	0	0	0	202	444	87	13	0	16	3	0	311	0	558	74	0	14	0
Eukaryota		Haptophyta		dropped	dropped	dropped	dropped	Zotu190	LCA	4	0	0	0	0	23	0	0	218	53	42	1	45	0	57	24	0	188	29	104	0	59	0	28	87	47	81	112	43	0	4	36	66	43	194	1	0	9	93	57	62	0
Eukaryota		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros tenuissimus	Zotu194	LCA	2	0	0	0	0	0	0	0	34	118	83	32	225	0	3	0	0	0	59	76	0	29	0	18	22	49	68	0	0	120	4	0	11	17	36	0	0	10	32	10	10	0
Eukaryota			Dinophyceae	Syndiniales			uncultured Syndiniales	Zotu200	LCA	3	0	0	0	0	0	0	51	32	0	9	0	9	0	197	93	0	0	29	38	0	169	0	20	36	7	0	66	2	131	7	69	24	1	0	170	0	131	79	0	10	0
Eukaryota			Polycystinea	Spumellaria	Actinommidae	Saturnalis	Saturnalis circularis	Zotu202	LCA	3	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	104	0	0	0	0	0	35	1	32	1	0	0	0	0	577	0	901	52	0	0	0
Eukaryota			Cryptophyceae	Cyathomonadacea	Goniomonadaceae		uncultured Goniomonas sp.	Zotu203	LCA	1	0	0	0	0	36	261	127	15	29	19	6	42	0	194	135	0	0	28	32	0	31	0	5	0	12	31	36	48	52	2	0	11	2	23	7	0	55	49	31	9	0
Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Liliales	Liliaceae	Fritillaria	dropped	Zotu205	LCA	9	0	0	0	0	0	0	2	0	17	0	226	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	1	0	11	0	0	0	0	0	474	422	13	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	dropped	dropped	dropped	Zotu208	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	833	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota			Polycystinea	Spumellaria	Actinommidae	Saturnalis	Saturnalis circularis	Zotu209	LCA	3	0	0	0	0	11	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	324	0	0	0	0	0	22	18	0	5	0	0	0	0	226	0	603	41	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu211	LCA	5	0	0	0	0	0	0	0	0	0	21	16	40	0	3	8	0	0	4	19	0	8	0	4	9	227	196	1	34	0	0	24	26	89	121	0	0	18	0	417	250	0
Eukaryota	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	Oikopleura fusiformis	Zotu217	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	17	84	13	356	0	0	238	0	0	18	11	0	0	0	0	136	50	56	0
Eukaryota		Haptophyta		dropped	dropped	dropped	dropped	Zotu220	LCA	5	0	0	0	0	18	0	0	0	85	2	1	35	0	40	0	0	1513	51	84	0	58	18	1	52	76	13	14	4	10	1	74	28	13	24	11	0	52	50	39	61	0
Eukaryota		Haptophyta					Haptophyta environmental samples	Zotu223	LCA	3	0	0	0	0	30	0	1	3	79	23	0	29	0	51	22	0	8	21	119	0	27	7	21	34	2	0	50	110	168	12	10	54	5	104	10	0	16	57	9	2	0
Eukaryota		Cercozoa	Chlorarachniophyceae				uncultured marine chlorarachniophyte	Zotu225	LCA	1	0	0	0	0	0	0	0	0	80	4	0	24	0	0	0	0	0	0	18	0	0	0	0	0	64	164	0	0	0	0	108	86	37	53	0	0	0	0	274	175	0
Eukaryota	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	dropped	dropped	dropped	Zotu233	LCA	5	0	0	0	0	325	54	0	0	0	0	0	0	0	15	14	0	0	0	0	0	93	2	0	5	0	0	56	48	4	11	0	0	0	0	135	0	89	5	0	0	0
Eukaryota	Metazoa	Chordata	Appendicularia	Copelata	Fritillariidae	dropped	dropped	Zotu241	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	33	687	14	0	18	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota			Pinguiophyceae	Pinguiochrysidales	Pinguiochrysidaceae	Pinguiochrysis	Pinguiochrysis pyriformis	Zotu246	LCA	1	0	0	0	0	0	0	0	0	150	37	14	114	0	2	0	0	51	17	10	0	8	0	5	29	97	75	0	0	0	0	90	59	97	67	0	0	0	33	67	120	0
Eukaryota							eukaryote clone OLI11150	Zotu247	LCA	2	0	0	0	0	0	676	0	0	0	1	7	20	0	52	7	35	0	11	20	0	8	0	0	0	0	8	11	0	23	2	41	12	5	4	0	0	7	6	0	14	0
Eukaryota	Metazoa	Annelida	Polychaeta	Terebellida	Terebellidae	Biremis	Biremis blandi	Zotu252	LCA	6	0	0	0	0	5	720	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea sp. DZMB524	Zotu260	LCA	2	0	0	0	0	0	1146	0	0	0	0	0	0	0	1	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	105	0	658	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	dropped	dropped	dropped	Zotu266	LCA	10	8588	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	dropped	dropped	dropped	Zotu267	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	0	46	0	0	0	0	0	0	8	0	0	0	0	1	0	35	0	0
Eukaryota			Polycystinea				uncultured Polycystinea	Zotu270	LCA	2	0	0	0	0	12	0	0	0	0	0	0	0	0	151	107	0	0	0	0	0	97	19	0	0	0	0	72	123	1	3	0	0	0	0	413	0	54	0	0	0	0
Eukaryota		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina sp.	Zotu271	LCA	3	0	0	0	0	0	689	0	2	11	0	0	0	0	13	0	0	1	6	2	0	4	0	0	16	0	0	1	0	4	1	2	1	1	0	66	0	0	16	5	0	0
Eukaryota			Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowia	Warnowia sp. BSL-2009a	Zotu272	LCA	4	0	0	0	0	1	0	15	0	13	0	0	45	0	20	0	0	0	42	11	0	0	72	29	0	38	83	0	63	442	8	0	40	0	0	0	0	0	24	47	142	0
Eukaryota	Viridiplantae	Chlorophyta	dropped	dropped	dropped	dropped	dropped	Zotu274	LCA	4	0	0	0	0	0	135	9	0	11	0	64	14	0	1	30	298	0	2	0	0	0	4	0	0	0	0	0	0	70	0	0	23	12	0	77	0	0	5	0	1	0
Eukaryota			Dictyochophyceae	Florenciellales		dropped	dropped	Zotu275	LCA	6	0	0	0	0	5	0	0	11	58	0	11	38	0	93	75	34	0	40	123	0	21	0	7	0	24	33	86	0	0	12	129	38	20	48	0	0	32	89	29	17	0
Eukaryota	Metazoa	Porifera	Demospongiae	Dictyoceratida	dropped	dropped	dropped	Zotu277	LCA	8	0	0	0	0	0	0	0	0	0	27	88	42	0	49	24	0	151	22	62	0	0	0	0	27	28	65	27	182	31	1	0	99	32	43	0	0	0	14	0	0	0
Eukaryota							eukaryote clone OLI11006	Zotu286	LCA	2	0	0	0	0	22	0	35	29	26	7	0	23	0	51	13	0	0	43	45	0	20	0	22	69	14	0	57	82	181	8	25	58	33	36	0	0	27	97	48	12	0
Eukaryota		Cercozoa					uncultured Cercozoa	Zotu290	LCA	5	0	0	0	0	0	0	0	0	25	47	67	22	0	0	0	0	0	2	0	0	0	0	0	2	9	21	0	0	0	0	17	7	27	6	0	0	1	6	399	76	0
Eukaryota			Polycystinea				uncultured Polycystinea	Zotu291	LCA	2	0	0	0	0	40	0	0	36	11	0	0	0	0	98	10	0	0	14	2	0	59	15	0	0	0	0	161	229	100	2	0	0	0	0	87	0	17	13	0	0	0
Eukaryota			Dinophyceae	Gonyaulacales	Amphidomataceae	Amphidoma	Amphidoma languida	Zotu292	LCA	5	0	0	0	0	58	0	436	15	13	0	21	0	0	131	4	3	0	23	54	0	270	45	12	342	20	11	5	102	25	3	84	26	30	24	1	0	50	53	19	1	0
