domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	BMSP001	B004	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP008	BMSP010	BMSP014	BMSP017	BMSP018	BMSP019	BMSP021	BMSP022	BMSP024	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP034	BMSP035	BMSP036	BMSP037
Eukaryota	Metazoa	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae	Pervagor	Pervagor janthinosoma	Zotu31	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16104	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Serranidae	Cephalopholis	Cephalopholis argus	Zotu32	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14298	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Kyphosidae	Kyphosus	dropped	Zotu33	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11532	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Kyphosidae	Kyphosus	dropped	Zotu34	LCA	2	0	0	0	0	0	0	0	10650	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	Gomphosus	dropped	Zotu38	LCA	2	0	0	0	0	0	0	0	6994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Abudefduf	dropped	Zotu39	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1609	0	1	0	4415	1	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Syngnathiformes	Mullidae	Mulloidichthys	Mulloidichthys flavolineatus	Zotu40	LCA	1	0	0	0	2	0	6506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Kyphosidae	Kyphosus	dropped	Zotu41	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5197	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Tetraodontiformes	Balistidae	Sufflamen	Sufflamen bursa	Zotu43	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3842	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Chromis	Chromis agilis	Zotu44	LCA	1	0	0	0	0	0	0	0	146	0	0	0	1	0	1	0	1620	597	161	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Abudefduf	Abudefduf sordidus	Zotu45	LCA	1	0	0	0	0	0	0	0	1124	0	0	0	0	0	0	887	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Tetraodontiformes	Balistidae	dropped	dropped	Zotu47	LCA	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1556	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Ctenochaetus	dropped	Zotu50	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1627	0	0	0	0	0	2	2	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Syngnathiformes	Mullidae	Mulloidichthys	Mulloidichthys flavolineatus	Zotu52	LCA	1	0	0	1	0	0	1318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Chromis	Chromis vanderbilti	Zotu54	LCA	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	804	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Mugiliformes	Mugilidae	Mugil	Mugil cephalus	Zotu58	LCA	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	277	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Ctenochaetus	dropped	Zotu64	LCA	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1340	0	0	0	0	0	0	0	0	0	0	0
