OTU	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu4380	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4382	0	0	0	0	0	0	102	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0
Zotu4383	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	4	0	2	13	0	0	0	0	0	0	0	0	0
Zotu4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0
Zotu439	0	0	0	0	0	22	0	75	0	46	0	31	0	0	0	0	0	0	0	0	435	33	164	84	0	39	0	10	72	12	28	0	6	0	9	0	70	0	0	0
Zotu4392	0	0	1	0	0	7	0	0	0	0	0	12	21	0	0	0	0	0	36	17	0	0	0	0	0	13	0	3	7	0	0	0	0	0	0	24	0	0	0	0
Zotu4395	0	0	0	0	0	0	0	0	0	0	0	10	94	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0
Zotu4396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	55	0	0	0	0	0
Zotu4398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	34	0	0	28	0	36	0	0	0	6	14	0	0	0	4	0	0	15	0	0	12	0
Zotu44	0	0	573	592	676	138	836	207	0	176	0	474	0	0	554	381	413	0	451	466	615	452	282	608	0	369	713	328	405	417	315	0	239	0	435	390	532	77	298	0
Zotu440	0	0	1	0	0	344	8	15	0	3	0	6	0	0	0	0	7	0	13	7	64	40	24	23	0	28	5	12	8	28	47	6	5	0	16	4	412	57	18	0
Zotu4402	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4404	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	40	0	0	0	0
Zotu4406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	4	1	0	7	0	0	0	0	1	0	0	0	0	0	3	9	0	0
Zotu4407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu4408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0
Zotu4409	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Zotu441	0	0	0	0	0	0	0	13	0	0	0	120	0	0	0	537	0	0	0	0	0	24	87	16	0	8	6	15	200	14	109	58	19	0	0	21	22	3	0	0
Zotu4410	0	0	0	0	0	0	21	2	0	0	0	0	0	0	0	22	0	0	0	0	1	1	0	2	0	0	0	4	0	9	0	2	0	0	0	2	0	0	0	0
Zotu4411	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4412	0	0	5	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	5	0	0	0	0	0	2	0	18	2	0	0	0	0	0	0	1	0	0	0	0
Zotu4413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
Zotu4414	0	0	0	0	0	0	0	3	0	8	0	2	0	0	0	0	0	0	0	0	0	5	0	6	0	1	0	1	0	1	0	0	1	0	0	13	0	20	8	0
Zotu4416	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	52	0	0	0	0
Zotu4419	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	0	0	0	0
