OTU	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu1	0	0	1399	0	992	1	4552	4841	0	813	0	4529	0	0	0	4669	2472	0	2946	0	3787	1107	581	4990	0	1310	2891	1167	2804	3186	2595	0	2657	0	4828	2757	17	3681	1684	0
Zotu10	0	0	0	0	0	0	1642	2623	0	1947	0	1471	1	0	0	2454	5687	0	2040	0	572	1394	877	3836	0	856	669	715	2514	1129	1755	2	1453	0	1	3020	929	1314	11	0
Zotu100	0	0	0	0	0	0	59	919	0	382	1	400	0	0	0	64	18	0	419	0	2	60	12	535	0	69	0	162	369	34	138	0	112	0	0	104	1041	0	326	0
Zotu1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	425	0	0	0	0	0	30	0	0	0	0	0	17	0	0	0	0	24	0	0	0	0	0	0	0
Zotu1001	0	0	0	0	28	0	2	1	0	0	0	59	0	0	0	0	0	0	30	17	6	39	16	31	0	35	11	14	3	7	0	0	2	0	91	7	0	41	0	0
Zotu1003	0	0	66	0	0	3	0	13	0	1	0	0	0	0	0	1	1	0	0	0	0	7	0	72	0	40	259	4	22	33	15	0	1	0	0	2	0	0	0	0
Zotu1004	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	135	0	0	0	0
Zotu1005	0	0	1	0	0	13	40	45	0	0	0	5	0	0	0	2	0	0	2	29	0	89	32	37	0	12	2	17	6	18	21	44	20	0	0	22	16	29	83	0
Zotu1006	0	0	32	1	0	3	3	8	0	3	0	3	0	0	0	0	0	0	26	1	2	81	85	56	1	29	0	82	4	16	42	0	7	0	6	3	57	0	1	0
Zotu1007	0	0	0	0	376	5	72	3	0	5	0	13	0	0	1	4	6	0	1	0	1	20	4	0	0	3	2	1	43	3	7	1	1	0	0	0	2	3	3	0
Zotu1008	0	0	0	0	0	0	0	1	0	0	0	55	0	0	7	15	0	0	140	35	0	3	0	13	0	70	0	73	0	1	8	1	2	0	0	72	0	0	0	0
Zotu1009	0	0	1	0	1	12	5	0	0	0	0	16	3	0	8	3	1	0	1	17	20	32	3	16	0	13	0	10	6	7	3	2	4	0	2	21	73	131	89	0
Zotu101	0	0	212	0	0	504	0	34	0	0	0	289	0	0	0	28	225	0	1734	0	0	28	0	0	0	323	56	21	177	16	21	1	0	0	0	82	240	0	0	0
Zotu1012	0	0	2	0	0	2	32	24	0	2	0	20	0	0	0	19	119	0	17	21	0	6	0	22	0	5	117	24	1	3	0	0	4	0	0	11	25	26	0	0
Zotu1014	0	0	0	0	1	1	0	10	0	0	0	56	0	0	27	5	95	0	0	0	194	0	9	7	0	20	0	0	0	19	0	0	2	0	0	0	0	0	0	0
Zotu1015	0	0	7	0	0	14	162	4	0	0	0	25	0	0	0	15	0	0	11	62	6	17	7	11	0	14	6	20	4	6	4	8	1	0	97	68	3	0	4	0
Zotu1017	0	0	23	0	0	19	12	4	0	0	0	4	0	0	0	0	0	0	19	115	43	14	11	44	0	5	1	15	6	14	25	17	2	0	0	2	60	24	10	0
Zotu1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu102	0	0	291	0	22	269	971	41	4	1	0	30	0	0	14	64	18	0	61	33	73	168	61	168	0	63	3	86	88	102	5	207	47	0	809	425	436	5	12	0
Zotu1023	0	0	61	0	0	0	0	7	0	0	0	57	0	0	0	0	112	0	96	0	0	20	0	0	0	35	18	15	0	5	0	0	5	0	0	11	0	0	0	0
Zotu1024	0	0	0	23	0	6	0	19	0	14	0	27	20	0	24	50	53	0	46	0	126	20	2	2	0	4	20	11	0	19	5	4	4	0	3	4	5	13	10	0
Zotu1025	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	7	0	3	0	0	3	0	0	0	1	474	64	0
Zotu1026	0	0	1	16	0	8	4	6	0	5	0	6	12	0	29	11	14	0	4	110	18	25	15	19	0	4	0	8	4	32	17	29	8	0	45	11	45	8	2	0
Zotu1027	0	0	75	0	34	1	5	0	0	0	0	7	4	0	9	3	145	0	36	33	0	11	0	1	0	20	0	9	1	6	1	0	2	0	1	4	0	28	1	0
Zotu1029	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	15	52	7	1	0	0	2	0	7	0	6	0	0	1	0	0	1	2	0	1	0
Zotu103	0	0	65	0	964	1265	9	94	0	28	0	208	0	0	0	66	339	0	0	0	111	50	0	331	0	69	24	96	1	156	166	0	54	0	0	27	0	0	0	0
Zotu1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0
Zotu1031	0	0	1	0	330	1	0	0	0	0	0	65	0	0	0	0	0	0	60	0	0	26	0	0	0	37	205	27	0	6	17	0	0	0	0	97	0	0	0	0
Zotu1032	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1033	0	0	46	0	0	414	0	0	0	0	0	53	0	0	0	0	3	0	12	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu1034	0	0	328	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	94	14	0	0	0	0	0	8	0	3	32	0	0	0	0	0	6	44	0	0	0	0
Zotu1035	0	0	227	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	29	29	0	0	0	0	0	41	442	120	0	0	5	0	0	0	118	107	0	0	0	0
Zotu1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu104	0	0	441	0	0	0	0	7	0	0	0	63	0	0	0	363	0	0	0	0	643	9	0	26	0	32	0	156	0	82	5	1641	0	0	0	0	388	0	0	0
Zotu1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0
Zotu1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1042	0	0	1	0	0	0	0	13	0	0	0	7	0	0	0	13	0	0	1	11	28	31	208	17	0	16	13	10	111	17	1	14	5	0	23	9	5	11	10	0
Zotu1043	0	0	21	0	358	0	53	20	0	0	0	2	1	0	24	0	2	0	0	0	0	3	0	16	0	0	0	3	0	13	0	0	3	0	0	0	7	10	2	0
Zotu1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	3	0	0	67	0	0	0	0	0	0	56	67	6	0	0	4	0	367	66	0
Zotu1045	0	0	1	2	0	15	0	34	3	40	0	45	0	0	22	29	0	0	23	0	43	43	1	18	0	34	1	17	17	37	58	0	15	0	16	13	0	35	0	0
Zotu1046	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	66	0	0	21	10	80	0	23	0	40	0	0	0	0	36	0	0	48	0	100	0	0
Zotu1047	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	415	3	0	0	0	0	0	0	0
Zotu1048	0	0	17	15	0	2	22	4	0	7	0	5	9	0	3	11	0	0	3	2	4	41	0	24	0	26	28	68	5	47	36	22	26	0	0	0	17	69	1	0
Zotu1049	0	0	0	440	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	5	0
Zotu105	0	0	171	0	0	0	0	51	0	153	0	166	0	0	0	102	212	0	392	0	66	137	456	206	0	75	0	154	232	163	32	784	83	0	0	56	386	0	3	0
Zotu1050	0	0	0	0	0	0	0	11	0	0	0	31	0	0	0	0	0	0	0	0	0	14	0	14	0	27	0	1	0	0	32	291	17	0	0	0	0	0	130	0
Zotu1051	0	0	67	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	17	0	0	0	0
Zotu1052	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	71	38	32	6	16	9	0	6	41	18	7	4	0	0	5	0	101	3	0	65	0	0
Zotu1054	0	0	2	2	7	5	0	12	0	9	0	18	6	0	0	50	0	0	53	26	7	32	36	18	0	24	0	26	7	32	29	10	8	0	0	45	149	20	19	0
Zotu1055	0	0	6	22	0	0	0	6	0	1	0	100	1	0	5	1	187	0	55	14	0	9	3	54	0	8	1	7	0	3	0	0	9	0	0	32	15	0	0	0
Zotu1058	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1059	0	0	132	0	0	0	0	8	0	1	0	23	50	0	0	35	90	0	24	18	0	8	0	7	0	20	0	15	2	1	14	2	1	0	18	36	3	0	1	0
Zotu106	0	0	0	0	172	0	285	45	1352	0	1	31	0	476	0	0	0	0	0	1255	59	24	1	11	0	45	10	65	0	33	0	61	29	0	0	28	0	0	0	0
Zotu1060	0	0	5	5	0	1	0	16	0	1	0	3	3	0	0	0	0	0	1	0	13	42	20	0	0	4	0	16	28	22	12	0	3	0	1	16	25	214	14	0
Zotu1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	435	0	0	0	0	0	1	0	0
Zotu1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	8	0	0	0	0	0	3	0	322	2	0	0	0	0	53	100	0
Zotu1064	0	0	4	0	0	0	0	0	0	0	0	29	128	0	0	0	0	0	27	1	0	0	0	0	0	14	0	15	0	1	0	0	0	0	238	19	0	0	0	0
Zotu1067	0	0	2	0	4	3	0	1	0	0	0	31	0	0	1	39	75	0	100	23	7	21	6	7	0	5	4	18	13	20	22	16	2	0	3	11	2	201	1	0
Zotu1068	0	0	0	0	0	0	406	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	6	0	0	0	0	0	0	0
Zotu107	0	0	0	0	0	0	1452	51	0	108	0	58	0	0	0	0	1009	0	513	1	2	197	0	39	0	81	0	112	0	297	0	0	144	0	0	0	0	0	38	0
Zotu1070	0	0	46	0	0	0	0	0	0	0	0	108	74	0	0	0	0	0	39	0	0	5	0	0	0	13	31	22	0	1	0	0	0	0	269	62	0	0	0	0
Zotu1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	31	39	165	0	0	0	0	0	2	0	0	14	0	0	0	0	18	0	0
Zotu1073	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1074	0	0	49	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	37	0	0	0	0	0	0	20	4	20	0	0	0	0	0	0	70	164	0	0	0	0
Zotu1075	0	0	34	0	0	1	0	6	1	1	0	11	0	0	0	29	13	0	4	3	0	40	0	11	0	2	2	58	3	17	20	0	8	0	45	163	50	0	7	1
Zotu1076	0	0	1	0	0	0	12	2	0	0	0	3	0	0	0	0	0	0	0	0	0	11	369	5	0	5	0	1	0	7	7	0	1	0	2	0	1	2	0	0
Zotu1079	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	433	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu108	0	0	163	0	2294	0	0	51	0	0	0	552	0	0	0	0	124	0	20	0	0	39	0	0	0	38	0	21	447	17	0	0	22	0	0	128	0	0	0	0
Zotu1080	0	0	44	0	0	36	0	11	0	32	0	0	0	0	0	1	67	0	21	0	14	44	21	39	0	14	14	5	37	24	4	0	7	0	0	10	27	3	19	0
Zotu1081	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	32	335	0
Zotu1082	0	0	0	0	0	0	2	1	0	9	0	2	0	0	0	10	0	0	0	1	145	6	1	3	0	5	4	1	23	8	3	0	2	0	78	8	26	14	68	0
Zotu1083	0	0	0	0	436	0	0	5	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1084	0	0	15	0	0	0	0	0	0	11	0	25	0	0	0	0	0	0	66	223	0	0	0	0	0	15	0	1	0	0	0	0	0	0	88	65	0	0	0	0
Zotu1086	0	0	20	0	19	0	1	6	0	9	0	5	0	0	0	51	0	0	3	6	33	45	5	51	0	5	0	25	31	28	0	43	5	0	8	0	19	16	6	0
Zotu1087	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	4	0	0	14	0	69	0	22	2	29	282	9	1	0	3	0	0	8	0	0	0	0
Zotu1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1089	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu109	0	0	0	0	0	1188	0	80	0	37	0	91	0	0	21	98	114	0	9	181	0	251	0	110	0	259	0	357	168	130	219	0	23	0	0	372	650	22	0	0
Zotu1090	0	0	0	1	0	158	0	5	0	2	0	21	0	0	0	9	16	0	4	0	1	11	1	18	0	14	62	2	0	3	19	11	9	0	0	8	0	30	2	0
Zotu1091	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	268	24	0	15	0	1	0	12	45	8	44	0	0	0	0	0	21	0	8	0
Zotu1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1095	0	0	22	0	0	14	0	45	0	1	0	9	0	0	0	3	14	0	0	15	57	23	8	16	0	8	62	4	18	37	8	126	8	0	0	4	11	1	19	0
Zotu1096	0	0	13	0	0	0	0	6	0	0	0	14	0	0	0	1	1	0	23	107	10	15	8	21	0	23	23	17	1	6	31	0	4	0	31	52	13	0	0	0
Zotu1097	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	29	0	0	0	90	2	8	3	0	17	0	0	0	0	16	0	6	0	0	0	0	115	118	0
Zotu1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	22	0	0	0	0	0	3	0	57	17	0	0	0	0	227	24	0
Zotu1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	0	0	0	0	1	528	162	0	739	0	0	0	0	0	0	0	0	0	0	442	644	2837	7702	0	0	0	0	1	1340	622	1490	995	0	0	0	0	2980	3094	0
Zotu110	0	0	48	0	200	0	1674	127	0	52	0	193	0	0	759	171	495	0	0	0	95	111	26	55	0	32	0	38	0	103	34	63	32	0	0	102	0	0	21	0
Zotu1100	0	0	17	0	0	0	0	21	0	0	0	197	0	0	0	1	0	0	7	1	4	5	0	2	0	23	0	20	16	7	0	0	3	0	0	107	30	0	43	0
Zotu1102	0	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1104	0	0	126	60	24	64	52	16	0	3	0	62	0	0	2	0	1	0	7	10	23	27	4	7	0	18	0	27	0	14	2	0	4	0	0	9	26	4	0	0
Zotu1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0
Zotu111	0	0	630	0	0	1232	0	0	0	141	0	251	0	0	0	0	0	0	357	534	1	28	0	0	0	144	0	171	0	82	65	0	0	0	6	167	0	0	0	0
Zotu1110	0	0	0	0	0	0	120	0	0	0	0	23	0	0	0	0	0	0	0	0	0	24	0	0	0	16	0	23	0	2	0	0	4	0	0	0	0	186	0	0
Zotu1111	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Zotu1112	0	0	331	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	8	3	1	8	1	2	0	15	0	2	1	13	22	0	1	0	0	3	2	3	0	0
Zotu1113	0	0	0	0	0	18	107	0	0	1	0	0	0	0	0	0	0	0	4	0	3	8	31	30	0	3	0	2	1	17	0	0	11	0	22	30	0	131	0	0
Zotu1115	0	0	1	0	0	0	215	8	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	33	0	6	0	0	3	23	0	0	5	0	0	93	0	0	0	0
Zotu1116	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	773	1	0	0	0	0
Zotu1117	0	0	0	15	32	1	1	22	1	4	0	17	0	0	0	118	1	0	12	1	51	49	10	60	0	11	62	22	62	64	12	93	6	0	0	5	47	3	6	0
Zotu1118	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1119	0	0	1	0	0	77	11	1	0	2	0	3	0	0	0	1	9	0	0	0	0	38	39	64	0	12	6	3	2	44	38	0	11	0	19	9	0	70	21	0
Zotu112	0	0	28	0	0	128	534	439	1	556	0	11	0	0	1	103	140	0	0	0	64	95	591	607	0	16	0	31	81	54	7	323	194	0	3	0	5	818	531	0
Zotu1120	0	0	42	124	90	0	0	11	0	18	0	68	0	0	0	0	1	0	18	3	12	9	0	6	0	2	0	2	4	4	1	49	0	0	0	32	0	7	1	0
Zotu1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	425	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0
Zotu1123	0	0	98	4	0	10	102	7	0	1	0	45	1	0	0	79	31	0	10	54	1	16	0	8	0	6	13	0	16	7	7	0	3	0	12	5	1	0	0	0
Zotu1124	0	0	0	0	0	0	0	1	0	29	0	3	0	0	0	4	0	0	1	0	53	20	0	11	0	9	0	5	4	8	1	236	7	0	0	0	0	5	1	0
Zotu1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1126	0	0	5	0	0	0	0	3	1	0	0	14	0	0	6	0	0	0	342	0	0	1	0	0	0	28	0	2	0	0	0	0	5	0	0	4	0	0	0	0
Zotu1127	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	75	0	18	0	2	0	3	0	10	157	13	36	0	1	0	0	0	0	67	9	0
Zotu1128	0	0	0	0	0	0	0	5	0	0	0	61	0	0	0	0	82	0	0	0	12	8	0	0	0	14	0	8	60	6	30	0	5	0	0	0	163	0	0	0
Zotu113	0	0	522	0	0	418	0	52	0	0	0	334	1323	0	0	137	598	0	0	0	0	0	0	0	0	118	43	35	5	0	2	1	15	0	0	201	1	0	0	0
Zotu1130	0	0	4	0	7	0	0	14	0	10	0	0	0	0	0	20	0	0	0	0	0	52	64	27	0	17	0	15	27	54	3	16	10	0	0	15	74	42	0	0
Zotu1131	0	0	39	0	47	2	19	0	0	60	0	10	0	0	0	16	0	0	7	87	0	5	12	9	0	19	8	6	11	2	0	58	0	0	0	0	1	4	31	0
Zotu1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0
Zotu1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	957	18	0	12	0	9	0	6	0	41	0	0	0	0	2	0	0	55	1	0	0	0
Zotu1134	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1135	0	0	0	0	2	0	0	0	0	0	0	74	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	608	0	0	53	0	0	0	0	0	0	0	0	0
Zotu1136	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Zotu1138	0	0	0	393	0	0	0	6	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	66	15	0
Zotu1139	0	0	7	0	0	6	0	11	0	32	0	17	0	0	2	68	14	0	0	0	52	20	16	10	0	10	0	7	6	38	7	49	1	0	3	7	2	80	39	0
Zotu114	0	0	0	3987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	8	0	5	0	0	0	0	0	0	1	0	0	0	0	0	7	0
Zotu1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	7	0	0	3	0	0	360	0	0	0	0
Zotu1141	0	0	7	0	0	3	0	9	0	1	0	15	0	0	0	11	0	0	18	0	0	27	2	12	0	9	2	7	25	9	25	18	16	0	5	6	54	85	48	0
Zotu1143	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	1	0	221	280	0	0	0	14	0	58	114	22	59	0	0	0	6	0	0	38	0	0	0	0
Zotu1144	0	0	33	0	0	38	2	12	0	0	0	21	0	0	1	35	0	0	4	5	2	47	16	22	0	10	11	2	21	27	18	5	13	0	0	2	18	96	10	0
Zotu1146	0	0	1	223	1	0	0	2	0	0	0	8	0	0	1	1	6	0	14	1	68	17	2	7	0	3	106	5	1	8	1	1	2	0	0	0	1	6	4	0
Zotu1147	0	0	4	0	0	0	2	1	0	0	0	15	0	0	6	8	0	0	43	3	9	33	0	9	0	19	15	5	18	26	1	3	0	0	0	179	87	14	11	0
Zotu1148	0	0	0	0	0	2	5	7	0	3	0	5	0	0	0	3	27	0	68	13	0	33	43	35	0	16	0	19	3	6	12	21	6	0	3	8	15	32	16	0
Zotu1149	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	27	0	3	0	1	0	11	0	17	0	0	17	0	0	0	145	0	0	0
Zotu115	0	0	0	0	1343	184	0	66	0	383	0	79	0	0	0	43	530	0	0	0	18	128	122	148	0	15	0	114	203	18	126	0	29	0	0	13	38	306	0	0
Zotu1151	0	0	83	0	0	0	0	2	0	0	0	66	181	0	0	11	0	0	4	8	1	4	0	1	0	6	0	17	0	0	1	0	3	0	17	31	20	1	0	0
Zotu1153	0	0	7	0	2	82	0	14	0	8	0	34	0	0	0	37	0	0	4	25	1	17	11	15	0	3	12	8	8	39	11	9	5	0	0	2	12	64	12	0
Zotu1154	0	0	14	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	229	0	0	0	0	0	0	12	0	13	15	0	0	0	1	0	1	35	0	0	0	0
Zotu1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	10	0	1	0	0	0	0	0	0	0
Zotu1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0
Zotu116	0	0	17	0	156	0	0	42	0	0	0	369	2168	0	0	92	76	0	98	0	156	2	0	0	0	139	142	48	7	11	0	0	0	0	0	0	379	0	0	0
Zotu1160	0	0	0	0	0	0	0	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1162	0	0	0	201	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	206	0	0	0	0
Zotu1165	0	0	6	0	0	0	0	3	0	0	0	11	0	0	0	5	0	0	17	0	0	18	214	2	0	12	0	11	23	15	3	0	1	0	1	25	15	27	9	0
Zotu1169	0	0	0	0	0	0	9	19	0	0	0	13	45	0	1	3	4	0	1	55	1	17	42	12	0	6	3	4	62	13	2	49	1	0	0	32	0	24	8	0
Zotu117	0	0	201	2	150	803	261	214	0	321	0	205	16	0	227	165	143	1	611	189	707	1180	275	951	0	432	551	371	463	656	433	185	274	0	80	180	414	693	324	0
Zotu1170	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	82	0	0	0	0
Zotu1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	110	0	0	0	0
Zotu1172	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	73	0	0	0	0	6	0	33	0	0	0	0	0	59	0	0	0	0	0	0	0	0	194	0
Zotu1173	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	63	0	0	0	0	121	33	0	14	0	7	0	4	0	31	29	5	5	0	0	0	9	81	4	0
Zotu1174	0	0	4	0	0	0	0	26	0	0	0	35	0	0	0	0	14	0	0	95	26	18	4	0	0	5	0	38	2	1	23	0	4	0	106	18	0	12	0	0
Zotu1175	0	0	0	0	0	0	0	6	0	0	0	25	0	0	0	3	0	0	0	0	91	3	0	6	0	9	0	22	0	23	24	0	8	0	0	0	0	173	29	0
Zotu1176	0	0	10	0	0	0	104	9	0	0	0	8	1	0	0	23	0	0	0	45	3	5	10	15	0	17	2	0	1	6	16	4	1	0	0	6	117	4	4	0
Zotu1177	0	0	0	0	76	0	2	4	0	0	0	1	0	186	0	0	0	0	0	2	55	9	0	28	0	0	0	5	0	0	0	31	0	0	0	0	3	0	0	0
Zotu118	0	0	221	0	0	360	0	31	0	0	0	668	0	0	0	98	306	0	102	214	0	88	16	67	0	210	110	146	121	42	85	0	51	0	30	1343	0	0	0	0
Zotu1180	0	0	121	0	0	0	0	11	0	0	0	202	0	0	0	111	0	0	4	0	1	0	0	0	0	15	36	10	5	0	0	0	0	0	31	18	0	0	0	0
Zotu1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	375	0	0	0
Zotu1183	0	0	0	220	0	0	0	6	0	0	0	24	0	0	37	0	0	0	0	0	13	7	0	26	0	18	25	11	0	0	0	0	0	0	0	24	0	0	0	0
Zotu1184	0	0	26	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1185	0	0	1	0	1	50	52	11	0	1	0	28	3	0	1	8	1	0	46	9	15	27	1	29	0	24	1	17	0	51	7	2	5	0	1	78	85	32	43	1
