OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu2422	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2425	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	46	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	4	2	0	0	9	0	0	0
Zotu2426	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	22	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	4	0	16	0	0	0	3	0	0	0
Zotu2447	0	0	0	0	1	0	2	0	14	0	0	9	0	1	2	0	0	2	13	0	0	0	0	1	10	8	1	0	0	1	7	9	5	23	1	0	1	2	4	7	0
Zotu245	0	0	0	0	0	0	13	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	137	0	973	0	1	0	0	0	0	0	0
Zotu2452	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	0	0	14	0	1	0	0	4	0	3	5	0	0	0	0	0	6	0	5	0
Zotu246	0	0	0	0	0	0	0	0	150	37	14	114	0	2	0	0	51	17	10	0	8	0	5	29	97	75	0	0	0	0	90	59	97	67	0	0	0	33	67	120	0
Zotu2468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	1	18	0	0	0	0	0	0	0
Zotu247	0	0	0	0	0	676	0	0	0	1	7	20	0	52	7	35	0	11	20	0	8	0	0	0	0	8	11	0	23	2	41	12	5	4	0	0	7	6	0	14	0
Zotu2470	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	6	23	0	0
Zotu2474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2479	0	0	0	0	17	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Zotu2483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2487	0	0	0	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1126	0	0	0	0	0	0	7996	0	0	0	21	0	0	0	10837	2	0
Zotu250	0	0	0	0	1	584	78	0	13	0	0	0	0	11	0	0	0	22	34	0	1	1	5	21	5	3	6	69	0	5	16	15	4	0	69	0	2	27	4	6	0
Zotu2505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
Zotu2506	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	35	3	0
Zotu2507	0	0	0	0	0	43	0	7	3	5	4	0	0	6	3	98	42	2	6	0	8	23	1	1	0	2	33	29	61	2	2	4	7	4	0	0	4	5	1	1	0
Zotu2510	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
Zotu2512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	4	0	0	0	0	0	0	0	0
Zotu2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
Zotu2519	0	0	0	0	0	0	0	0	12	0	25	0	0	0	0	0	1	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0
Zotu252	0	0	0	0	5	720	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0
Zotu253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu254	0	0	0	0	7	19	32	0	29	91	9	14	0	12	1	0	838	46	28	0	1	7	3	13	21	52	1	1	99	2	19	11	90	95	9	0	27	20	610	60	1
Zotu2545	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	5	0	0	7	0	9	0	0	0	44	4	0	0	0	2	0	0	0	6	4	0	0	0
Zotu2553	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2558	0	0	0	0	0	0	0	5	9	0	2	5	0	7	0	0	0	0	0	0	13	0	0	3	0	0	0	0	0	0	0	0	0	0	10	0	1	1	0	0	0
Zotu256	0	0	0	0	0	218	0	0	0	0	0	0	0	2	0	0	0	0	0	0	272	386	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
Zotu2563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2564	0	0	0	0	0	0	0	0	14	0	0	0	0	7	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	5	0	0	0	2	4	0	0
Zotu2567	0	0	0	0	0	0	0	2	35	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	3	0	0	0	3	3	0	0	0
Zotu2570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2578	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	7	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu258	0	0	0	0	17	182	0	0	0	0	0	0	0	462	130	0	0	0	0	0	11	2	0	0	0	0	0	35	0	0	0	0	0	0	35	0	48	0	0	0	0
Zotu2580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
Zotu259	0	0	0	0	0	0	0	0	0	709	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2590	0	0	0	0	0	8	0	3	48	5	3	70	0	2	1	0	0	23	87	0	6	0	0	3	75	77	3	6	1	0	14	50	64	222	2	0	1	13	184	252	0
Zotu2596	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu26	0	0	0	0	4	708	18	42	1145	129	75	1687	0	54	21	0	0	788	1468	0	35	0	109	53	1372	1063	30	59	0	5	410	536	952	2607	0	0	82	132	1087	1756	0
Zotu260	0	0	0	0	0	1146	0	0	0	0	0	0	0	1	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	105	0	658	0	0	0	0	0	0	0	0
Zotu2602	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu2609	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
Zotu261	0	0	0	0	0	0	0	0	0	0	0	0	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2611	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	15	0	0	0	0	2	0	0	0	0	0	2	3	3	0
Zotu2612	0	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	0	3	0	0	0	0	1	0	0	1	0	26	0	1	0	0	0	0	0	0	4	0	0	0	0
Zotu2615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2622	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	30	0	0	2	0	1	0	0	0	0	0	7	0	0	0
Zotu2623	0	0	0	0	3	0	0	0	0	0	0	0	0	24	16	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	19	3	0	4	0
Zotu263	0	0	0	0	11	0	0	0	0	0	0	0	0	73	17	0	0	0	0	0	44	0	0	0	0	0	0	8	51	0	0	0	0	0	398	0	572	9	0	0	0
Zotu264	0	0	0	0	4	0	4	9	1	4	3	95	0	51	36	0	17	31	104	0	34	67	33	60	10	127	23	212	363	12	88	20	27	31	4	0	79	51	99	49	0
Zotu265	0	0	0	0	41	137	55	0	1	0	0	8	0	256	14	0	0	16	35	0	139	5	0	7	1	6	60	52	0	10	15	20	0	2	2	0	50	25	0	6	0
Zotu2659	0	0	0	0	7	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
Zotu266	8588	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
Zotu2662	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu2663	0	0	0	0	0	0	0	0	0	8	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2668	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	214	0	0	0
Zotu267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	0	46	0	0	0	0	0	0	8	0	0	0	0	1	0	35	0	0
Zotu2670	0	0	0	0	5	0	3	0	0	0	0	0	0	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	16	0	4	0
Zotu2671	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu268	0	0	0	0	8	0	17	68	34	0	0	54	0	46	23	0	0	31	58	0	35	0	9	7	53	47	2	0	58	4	31	78	26	10	112	0	27	36	57	49	0
Zotu2682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Zotu2690	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	2	0	0	32	0	2	0	0	8	0	0	0	0	7	0	0	0
Zotu27	0	0	0	0	200	0	0	0	0	0	0	0	0	7063	0	0	0	0	0	0	0	0	0	0	0	0	15987	0	1	0	21	0	0	0	0	0	0	273	0	0	0
Zotu270	0	0	0	0	12	0	0	0	0	0	0	0	0	151	107	0	0	0	0	0	97	19	0	0	0	0	72	123	1	3	0	0	0	0	413	0	54	0	0	0	0
Zotu2703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Zotu271	0	0	0	0	0	689	0	2	11	0	0	0	0	13	0	0	1	6	2	0	4	0	0	16	0	0	1	0	4	1	2	1	1	0	66	0	0	16	5	0	0
Zotu2714	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu2715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Zotu272	0	0	0	0	1	0	15	0	13	0	0	45	0	20	0	0	0	42	11	0	0	72	29	0	38	83	0	63	442	8	0	40	0	0	0	0	0	24	47	142	0
Zotu2724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	13	3	0
Zotu2725	0	0	0	0	0	0	0	0	0	0	0	2	0	13	12	0	0	2	1	0	34	0	1	1	0	0	3	12	3	0	0	2	0	0	3	0	2	4	0	0	0
Zotu2728	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	38	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu2731	0	0	0	0	0	0	31	0	0	7	0	1	0	2	0	0	0	0	0	0	7	0	0	0	0	0	6	7	7	1	0	4	5	1	0	0	0	8	0	3	0
Zotu274	0	0	0	0	0	135	9	0	11	0	64	14	0	1	30	298	0	2	0	0	0	4	0	0	0	0	0	0	70	0	0	23	12	0	77	0	0	5	0	1	0
Zotu2746	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	7	0	0	1	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	7	0	3	0
Zotu2749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0
Zotu275	0	0	0	0	5	0	0	11	58	0	11	38	0	93	75	34	0	40	123	0	21	0	7	0	24	33	86	0	0	12	129	38	20	48	0	0	32	89	29	17	0
Zotu2760	0	0	0	0	3	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0
Zotu277	0	0	0	0	0	0	0	0	0	27	88	42	0	49	24	0	151	22	62	0	0	0	0	27	28	65	27	182	31	1	0	99	32	43	0	0	0	14	0	0	0
Zotu2773	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2799	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Zotu28	0	0	0	0	79	190	153	129	2393	1053	222	4258	0	135	103	0	710	522	903	0	1	2	174	362	1281	1595	81	30	278	17	257	644	441	515	0	0	45	313	1413	877	0
Zotu280	0	0	0	0	0	0	11	0	0	1	0	0	0	0	8	0	0	22	0	0	0	0	0	0	0	0	57	0	0	955	4	2	0	0	1	0	0	8	0	0	0
Zotu2801	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2804	0	0	0	0	6	0	0	0	10	0	0	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu2807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	6	0	0	0	0	0	0	0	0	1	0
Zotu2808	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0
Zotu2810	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu2816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu2817	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	33	0	2	0	0	0	0	0	18	0	11	0	0	1	0	0	1	10	0	0	0	1	1	7	2	0
Zotu2818	0	0	0	0	0	0	18	0	0	0	0	0	0	7	0	19	0	0	9	0	0	425	0	12	0	0	12	10	0	3	4	0	0	0	21	0	39	0	0	0	0
Zotu2820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2827	0	0	0	0	0	0	0	0	3	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2829	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu283	0	0	0	0	3	0	0	19	5	6	16	0	0	0	6	0	605	1	0	0	1	0	20	7	0	0	0	0	0	0	17	1	9	0	0	0	5	4	0	0	0
Zotu2832	0	0	0	0	6	0	0	6	0	0	0	0	0	19	0	0	0	0	0	0	34	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Zotu2837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu284	0	0	0	0	19	0	0	120	0	0	0	4	0	41	0	0	0	16	25	0	34	4	7	49	0	23	25	68	73	8	87	27	4	47	1	0	0	50	0	0	0
Zotu2843	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Zotu2844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0
Zotu2846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	100	45	0	0	0	0	50	10	52	163	0	0	0	0	270	107	0
Zotu286	0	0	0	0	22	0	35	29	26	7	0	23	0	51	13	0	0	43	45	0	20	0	22	69	14	0	57	82	181	8	25	58	33	36	0	0	27	97	48	12	0
Zotu2872	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	3	27	0	0	0	0	0	0	4	0	0	0
Zotu2875	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	12	0
Zotu2880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	8	16	0	0	0	0	0	0	9	0	0
Zotu2887	0	0	0	0	2	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	10	5	0	0	0
Zotu29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu290	0	0	0	0	0	0	0	0	25	47	67	22	0	0	0	0	0	2	0	0	0	0	0	2	9	21	0	0	0	0	17	7	27	6	0	0	1	6	399	76	0
Zotu2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0
Zotu2901	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2908	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Zotu291	0	0	0	0	40	0	0	36	11	0	0	0	0	98	10	0	0	14	2	0	59	15	0	0	0	0	161	229	100	2	0	0	0	0	87	0	17	13	0	0	0
Zotu2919	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu292	0	0	0	0	58	0	436	15	13	0	21	0	0	131	4	3	0	23	54	0	270	45	12	342	20	11	5	102	25	3	84	26	30	24	1	0	50	53	19	1	0
Zotu2921	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	6	0	0	0
Zotu293	0	0	0	0	41	0	0	42	25	0	0	42	0	61	25	0	0	29	246	0	18	0	10	148	35	64	42	75	40	7	2	59	15	11	108	0	20	76	52	32	0
Zotu2935	0	0	0	0	14	0	0	0	0	0	0	0	0	19	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
Zotu295	0	0	0	0	40	0	5	0	3	50	0	0	0	60	9	239	0	26	0	0	1	68	2	16	0	0	82	170	84	4	0	9	9	0	68	0	36	28	5	9	0
Zotu2953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
Zotu296	0	0	0	0	32	0	100	13	9	3	0	6	0	66	10	0	120	21	34	0	67	0	7	19	10	1	88	43	56	1	0	18	0	16	13	0	39	44	0	1	0
Zotu2964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2968	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	11	0	0	5	0	0	0	0	9	0	1	0	4	2	0	1	0	3	3	0	0	8	1	0	4	0
Zotu2971	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Zotu298	0	0	0	0	1	0	0	0	0	2	4	0	0	62	19	2	864	1	0	0	0	24	0	0	0	0	0	21	5	0	0	0	2	7	0	0	3	4	0	7	0
Zotu2985	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0
Zotu2989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu299	0	0	0	0	0	180	0	87	9	1	0	20	0	101	34	0	0	12	15	0	74	0	10	43	25	31	55	65	2	5	4	12	10	19	70	0	43	7	7	20	0
Zotu2990	0	0	0	0	0	1	4	3	77	11	1	137	0	9	0	0	1	21	65	0	2	0	1	5	62	69	6	6	0	0	20	56	46	54	0	0	1	14	65	93	0
Zotu2994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2997	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3	0	0	0	0	0	0	19297	0	0	615	0	0	0	1	44668	0	0	19370	109	0	0	0	0	0	25	0	9571	0	0	1	2315	0	0	4960	1190	0	1	9695	0	0	0
Zotu30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10278	0	0	0	0
Zotu300	0	0	0	0	57	142	0	0	0	0	0	0	0	1	54	0	0	40	0	0	29	21	0	0	0	0	0	48	156	1	0	13	8	0	15	0	134	0	0	17	0
Zotu3003	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Zotu3005	0	0	0	0	0	0	46	17	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	85	0	0	0	0
Zotu3007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Zotu302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3025	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	11	0	4	0	0	10	0	0	0	0	0	2	0	0	0
Zotu3028	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
Zotu3034	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	68	0	310	0	0	0	0	0	0	0	0
Zotu3038	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	3	0	0	0
Zotu304	0	0	0	0	0	0	0	0	193	3	0	52	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
Zotu3048	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	17	2	0	0	0
Zotu3049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	24	0	6	0	0	0	0
Zotu305	0	0	0	0	8	419	0	0	2	37	0	8	0	8	15	0	0	15	13	0	0	0	0	15	0	0	0	0	8	0	3	0	0	42	56	0	4	0	0	9	0
Zotu306	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu307	0	0	0	0	7	69	12	0	0	0	8	0	0	10	9	435	0	0	1	0	19	25	2	0	0	0	7	34	56	2	0	0	2	2	0	0	15	5	0	0	0
