OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu2078	0	0	0	0	0	0	0	19	3	0	0	11	0	0	10	0	0	2	344	1	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	68	35	6	0	0
Zotu208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	833	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2083	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu209	0	0	0	0	11	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	324	0	0	0	0	0	22	18	0	5	0	0	0	0	226	0	603	41	0	0	0
Zotu2096	0	0	0	0	0	0	0	0	0	0	0	6	0	16	10	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Zotu2098	0	0	0	0	0	0	0	0	0	0	0	0	0	16	22	0	0	2	0	0	9	0	0	0	1	0	6	0	0	0	3	2	0	0	0	0	13	1	1	0	0
Zotu21	0	0	16463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Zotu2100	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Zotu2102	0	0	0	0	0	0	36	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu2105	0	0	0	0	19	0	0	0	19	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	6	0	0	0
